epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4463,3.00544,4.22458,4.08887,0.00221,0.96166,0.07709,0.02029,1.80745,48.1781,2.5954,0.000659864,0.000659864,0.000659864
2,55.6423,2.65525,3.7322,3.40777,0.03058,0.27476,0.0182,0.00614,2.07945,129.817,2.67764,0.00132128,0.00132128,0.00132128
3,82.8742,2.39736,3.23144,2.98243,0.16769,0.20128,0.09782,0.02617,1.98606,38.6811,2.50266,0.00197741,0.00197741,0.00197741
4,109.791,2.3352,2.9156,2.79826,0.21808,0.29073,0.15682,0.0458,1.92583,19.0976,2.3316,0.00197624,0.00197624,0.00197624
5,136.375,2.31832,2.81393,2.67628,0.36136,0.51118,0.38623,0.14943,1.72171,10.3929,2.06124,0.00196832,0.00196832,0.00196832
6,163.175,2.24967,2.59893,2.58192,0.40023,0.47284,0.41088,0.14298,1.76125,11.1992,2.07796,0.0019604,0.0019604,0.0019604
7,189.914,2.21857,2.4994,2.51656,0.46362,0.39936,0.40849,0.14528,1.72906,6.56505,2.0613,0.00195248,0.00195248,0.00195248
8,216.27,2.1558,2.38731,2.4881,0.35897,0.47232,0.3401,0.1161,1.69617,10.908,2.00213,0.00194456,0.00194456,0.00194456
9,243.122,2.10261,2.37454,2.4204,0.41828,0.46326,0.36009,0.13435,1.72258,6.09938,2.07052,0.00193664,0.00193664,0.00193664
10,269.58,2.07979,2.24139,2.37481,0.44862,0.54633,0.45974,0.17084,1.69278,7.55993,1.97785,0.00192872,0.00192872,0.00192872
11,296.37,2.0701,2.19595,2.34363,0.44252,0.51757,0.42162,0.14171,1.9083,10.3073,2.14981,0.0019208,0.0019208,0.0019208
12,323.147,2.05506,2.13531,2.32076,0.55052,0.60064,0.59746,0.21119,1.73062,5.59592,2.02143,0.00191288,0.00191288,0.00191288
13,349.952,2.04902,2.07118,2.29421,0.56428,0.5016,0.506,0.19549,1.77104,3.90202,2.01768,0.00190496,0.00190496,0.00190496
14,376.762,2.0331,2.05404,2.26345,0.56335,0.60064,0.56906,0.19021,1.795,7.97074,2.04942,0.00189704,0.00189704,0.00189704
15,403.526,2.03175,2.03278,2.26312,0.62113,0.49521,0.57419,0.20086,1.75433,5.36625,2.03171,0.00188912,0.00188912,0.00188912
16,430.343,1.98607,1.97369,2.21479,0.72799,0.66696,0.70301,0.28568,1.61921,3.95944,1.89091,0.0018812,0.0018812,0.0018812
17,456.959,1.97585,1.93819,2.17553,0.66822,0.63704,0.65742,0.26575,1.59634,3.73361,1.87477,0.00187328,0.00187328,0.00187328
18,483.663,1.95992,1.95867,2.18006,0.72629,0.65495,0.68784,0.26516,1.68352,4.46957,1.92387,0.00186536,0.00186536,0.00186536
19,510.283,1.98722,1.90397,2.18421,0.68402,0.60383,0.64967,0.25856,1.64552,7.07287,1.8946,0.00185744,0.00185744,0.00185744
20,537.004,1.9213,1.86358,2.14003,0.74788,0.65393,0.72331,0.2995,1.61213,3.21645,1.87884,0.00184952,0.00184952,0.00184952
21,563.908,1.93072,1.85418,2.12596,0.78284,0.66802,0.74957,0.3127,1.61348,3.33191,1.85999,0.0018416,0.0018416,0.0018416
22,590.512,1.92172,1.82651,2.11453,0.73409,0.66454,0.73555,0.30671,1.57326,4.74821,1.82742,0.00183368,0.00183368,0.00183368
23,617.242,1.91937,1.78643,2.08381,0.74142,0.6901,0.74284,0.29394,1.66722,3.71471,1.90186,0.00182576,0.00182576,0.00182576
24,643.99,1.91049,1.78526,2.09892,0.82164,0.71885,0.81716,0.35398,1.58447,4.03351,1.84938,0.00181784,0.00181784,0.00181784
25,670.949,1.90852,1.79343,2.1077,0.78723,0.6869,0.74654,0.31571,1.59961,3.87911,1.85026,0.00180992,0.00180992,0.00180992
26,697.727,1.89029,1.7864,2.08062,0.76227,0.66587,0.72335,0.22945,1.862,4.10897,2.10922,0.001802,0.001802,0.001802
27,724.249,1.89012,1.72046,2.06195,0.75956,0.73163,0.79778,0.31592,1.67744,3.62955,1.89237,0.00179408,0.00179408,0.00179408
28,751.282,1.91809,1.77364,2.09714,0.77566,0.70927,0.7954,0.33614,1.60876,2.39276,1.82733,0.00178616,0.00178616,0.00178616
29,777.911,1.87834,1.71048,2.07339,0.81029,0.74441,0.80655,0.33061,1.67042,2.30978,1.89563,0.00177824,0.00177824,0.00177824
30,804.806,1.87564,1.72309,2.05806,0.85993,0.74538,0.83761,0.33138,1.63983,3.36794,1.87251,0.00177032,0.00177032,0.00177032
31,831.69,1.88021,1.73911,2.06724,0.80527,0.73988,0.81787,0.35325,1.54472,5.94382,1.789,0.0017624,0.0017624,0.0017624
32,858.32,1.87596,1.70037,2.05756,0.85265,0.7395,0.81571,0.34048,1.59236,3.62361,1.83598,0.00175448,0.00175448,0.00175448
33,885.07,1.86296,1.65357,2.02403,0.82259,0.76677,0.81236,0.32649,1.6626,4.48798,1.93661,0.00174656,0.00174656,0.00174656
34,911.687,1.88112,1.71749,2.06444,0.87506,0.70927,0.82002,0.35899,1.61014,2.72422,1.84235,0.00173864,0.00173864,0.00173864
35,938.477,1.81618,1.65094,2.00617,0.82794,0.73791,0.81004,0.34952,1.59976,2.89937,1.85533,0.00173072,0.00173072,0.00173072
36,965.573,1.8716,1.66432,2.04484,0.84418,0.74426,0.82577,0.32752,1.6601,4.93958,1.90553,0.0017228,0.0017228,0.0017228
37,991.988,1.82654,1.64222,2.01259,0.86676,0.74822,0.84975,0.35874,1.60813,3.47169,1.82476,0.00171488,0.00171488,0.00171488
38,1018.85,1.83748,1.65497,2.01849,0.868,0.76038,0.84484,0.36183,1.58596,2.97287,1.81208,0.00170696,0.00170696,0.00170696
39,1045.42,1.82795,1.6029,2.00888,0.81374,0.79561,0.84834,0.36902,1.60751,2.43055,1.836,0.00169904,0.00169904,0.00169904
40,1072.36,1.81628,1.56759,1.97869,0.8637,0.77636,0.85411,0.36835,1.66021,1.98597,1.86361,0.00169112,0.00169112,0.00169112
