epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5117,3.01,4.07192,4.04786,0.00221,0.96166,0.01804,0.00492,1.81501,98.889,2.82683,0.000659864,0.000659864,0.000659864
2,56.212,2.81485,3.70508,3.45258,0.01801,0.0607,0.00537,0.00092,2.46332,67.1221,3.52327,0.00132128,0.00132128,0.00132128
3,83.236,2.55561,3.4034,3.12394,0.03048,0.1278,0.02123,0.0065,1.8208,102.409,3.17601,0.00197741,0.00197741,0.00197741
4,110.178,2.41247,3.17483,2.95671,0.1317,0.14696,0.07301,0.01857,1.92696,97.7548,2.38206,0.00197624,0.00197624,0.00197624
5,136.781,2.381,3.01712,2.86015,0.21289,0.377,0.17072,0.05975,1.78338,20.3264,2.25718,0.00196832,0.00196832,0.00196832
6,163.235,2.3003,2.86254,2.78129,0.41455,0.39297,0.34442,0.11698,1.79915,16.4104,2.15529,0.0019604,0.0019604,0.0019604
7,189.443,2.23382,2.70409,2.71112,0.40947,0.38339,0.35879,0.12961,1.77418,17.1244,2.16537,0.00195248,0.00195248,0.00195248
8,215.908,2.18166,2.61815,2.64221,0.46553,0.38978,0.37466,0.12087,1.67285,15.4165,2.20429,0.00194456,0.00194456,0.00194456
9,242.117,2.12518,2.62287,2.61138,0.25456,0.65176,0.31763,0.1218,1.62691,16.811,2.09349,0.00193664,0.00193664,0.00193664
10,268.542,2.08358,2.47456,2.53608,0.33615,0.47923,0.32343,0.1002,1.77182,18.4001,2.24094,0.00192872,0.00192872,0.00192872
11,295.031,2.08353,2.34777,2.48832,0.55716,0.53863,0.53944,0.20513,1.67293,14.1333,2.06375,0.0019208,0.0019208,0.0019208
12,321.498,2.07461,2.32246,2.50528,0.49902,0.49963,0.47863,0.17828,1.68773,13.4558,2.0091,0.00191288,0.00191288,0.00191288
13,348.11,2.04867,2.2774,2.4722,0.44351,0.46645,0.43036,0.16663,1.69071,4.99653,2.04553,0.00190496,0.00190496,0.00190496
14,374.506,2.01528,2.22242,2.42953,0.50743,0.58466,0.5506,0.18752,1.74479,23.9545,2.10625,0.00189704,0.00189704,0.00189704
15,401.176,1.99726,2.19896,2.42891,0.51676,0.64915,0.59886,0.22973,1.61287,17.5293,2.02441,0.00188912,0.00188912,0.00188912
16,427.678,1.96993,2.15634,2.39628,0.65696,0.56291,0.63859,0.25765,1.63889,5.79008,1.97998,0.0018812,0.0018812,0.0018812
17,453.961,1.96306,2.12649,2.40474,0.54897,0.54633,0.53711,0.21472,1.58887,5.26706,1.97484,0.00187328,0.00187328,0.00187328
18,480.306,1.97075,2.1392,2.42752,0.52426,0.51754,0.48567,0.18207,1.6662,12.0006,2.10734,0.00186536,0.00186536,0.00186536
19,506.439,1.97643,2.05249,2.41673,0.66901,0.56181,0.61401,0.21472,1.7756,6.23934,2.1093,0.00185744,0.00185744,0.00185744
20,533.006,1.92753,2.0931,2.39691,0.63473,0.61624,0.65423,0.26643,1.62713,10.1524,1.93078,0.00184952,0.00184952,0.00184952
21,559.388,1.92648,2.00361,2.36696,0.68036,0.57188,0.66088,0.27003,1.63872,4.40524,2.02251,0.0018416,0.0018416,0.0018416
22,585.627,1.91697,2.0074,2.3818,0.68247,0.57188,0.62853,0.26807,1.55023,6.43637,1.95339,0.00183368,0.00183368,0.00183368
23,612.064,1.90708,1.96961,2.35,0.62513,0.6127,0.60283,0.21786,1.69345,8.58346,2.10277,0.00182576,0.00182576,0.00182576
24,638.644,1.91035,1.95146,2.3734,0.65794,0.63911,0.68861,0.27217,1.65509,6.17307,2.02776,0.00181784,0.00181784,0.00181784
25,665.197,1.90631,1.95571,2.35358,0.68333,0.64856,0.6932,0.28837,1.63565,5.80971,2.01543,0.00180992,0.00180992,0.00180992
26,691.789,1.89017,1.96578,2.33293,0.74368,0.67412,0.74708,0.30521,1.64794,4.80151,1.96272,0.001802,0.001802,0.001802
27,718.263,1.90216,1.90987,2.32414,0.7472,0.69968,0.746,0.30725,1.56842,7.99544,1.9728,0.00179408,0.00179408,0.00179408
28,744.565,1.92828,1.98135,2.35483,0.71906,0.62965,0.70523,0.28402,1.64765,5.67376,2.00101,0.00178616,0.00178616,0.00178616
29,770.758,1.8909,1.89932,2.30296,0.75837,0.66773,0.75445,0.32547,1.57475,3.1732,1.93167,0.00177824,0.00177824,0.00177824
30,797.307,1.87455,1.92117,2.31696,0.73546,0.6901,0.78303,0.33344,1.5679,4.67519,1.91566,0.00177032,0.00177032,0.00177032
31,823.624,1.87432,1.88932,2.33272,0.72656,0.66215,0.71818,0.28836,1.65007,3.52708,2.03917,0.0017624,0.0017624,0.0017624
32,849.943,1.88585,1.89153,2.3181,0.85754,0.71565,0.79688,0.32075,1.62747,5.539,1.96622,0.00175448,0.00175448,0.00175448
33,876.425,1.85428,1.82374,2.28721,0.74015,0.68253,0.73131,0.25709,1.68334,6.21192,2.06282,0.00174656,0.00174656,0.00174656
34,902.656,1.8738,1.86309,2.30248,0.73185,0.67141,0.75755,0.32259,1.55354,4.35823,1.90602,0.00173864,0.00173864,0.00173864
35,929.171,1.84184,1.82981,2.28348,0.82183,0.74441,0.80507,0.33142,1.63283,3.4188,1.97998,0.00173072,0.00173072,0.00173072
36,955.553,1.86799,1.79588,2.30541,0.78309,0.71246,0.78859,0.33197,1.6051,3.59917,1.94781,0.0017228,0.0017228,0.0017228
37,982.3,1.83377,1.7682,2.26745,0.81574,0.71885,0.81325,0.33518,1.59083,4.43172,1.9041,0.00171488,0.00171488,0.00171488
38,1009.24,1.8479,1.79232,2.27875,0.77524,0.69424,0.79061,0.34318,1.57078,3.04934,1.90674,0.00170696,0.00170696,0.00170696
39,1035.7,1.82771,1.76027,2.26604,0.84447,0.74592,0.83876,0.36302,1.56905,1.77325,1.86862,0.00169904,0.00169904,0.00169904
40,1062.19,1.8099,1.74587,2.24924,0.83403,0.77316,0.8583,0.34203,1.63838,2.85968,1.96839,0.00169112,0.00169112,0.00169112
41,1088.16,1.85129,1.76476,2.27977,0.84201,0.78323,0.82223,0.35868,1.59946,3.18264,1.91593,0.0016832,0.0016832,0.0016832
42,1114.62,1.85294,1.77124,2.26228,0.81952,0.76887,0.82817,0.35456,1.59375,4.07658,1.95377,0.00167528,0.00167528,0.00167528
43,1140.8,1.84592,1.74735,2.26086,0.81303,0.77316,0.84507,0.36107,1.55322,4.1741,1.95507,0.00166736,0.00166736,0.00166736
44,1167.32,1.81958,1.77633,2.2588,0.77399,0.68928,0.78143,0.34441,1.53768,2.38698,1.87748,0.00165944,0.00165944,0.00165944
45,1193.96,1.82095,1.76623,2.26363,0.81825,0.69968,0.80601,0.34478,1.54868,3.4809,1.92307,0.00165152,0.00165152,0.00165152
46,1220.67,1.79822,1.70031,2.25375,0.7845,0.72843,0.80967,0.35336,1.59219,2.21466,1.95013,0.0016436,0.0016436,0.0016436
47,1247.17,1.80082,1.74245,2.25668,0.78506,0.7585,0.82031,0.34777,1.5752,3.83194,1.90284,0.00163568,0.00163568,0.00163568
48,1273.43,1.80871,1.73829,2.24111,0.77565,0.75399,0.79296,0.3237,1.64845,5.37921,1.97405,0.00162776,0.00162776,0.00162776
49,1299.88,1.81332,1.68044,2.2352,0.86542,0.74121,0.85242,0.37442,1.5552,3.04819,1.87752,0.00161984,0.00161984,0.00161984
50,1326.54,1.81339,1.68054,2.23568,0.8592,0.73802,0.85488,0.37113,1.60055,2.36749,1.93682,0.00161192,0.00161192,0.00161192
51,1353.12,1.7788,1.67317,2.24709,0.79472,0.77636,0.82728,0.34924,1.61124,4.65661,1.94587,0.001604,0.001604,0.001604
52,1379.64,1.81044,1.68897,2.23897,0.81339,0.76997,0.82582,0.36322,1.5525,2.64106,1.88436,0.00159608,0.00159608,0.00159608
53,1405.91,1.82023,1.70508,2.2457,0.78982,0.75636,0.82137,0.35686,1.52365,4.17,1.91406,0.00158816,0.00158816,0.00158816
54,1432.45,1.78572,1.67981,2.23758,0.84232,0.75399,0.83397,0.3514,1.63908,1.92679,1.9711,0.00158024,0.00158024,0.00158024
55,1459.05,1.79567,1.71202,2.24749,0.82477,0.7476,0.83619,0.34898,1.59689,2.44406,1.95212,0.00157232,0.00157232,0.00157232
56,1485.48,1.78269,1.6637,2.22502,0.84202,0.76997,0.85007,0.36856,1.52651,2.60482,1.88809,0.0015644,0.0015644,0.0015644
57,1512.11,1.77181,1.67925,2.21557,0.83948,0.77316,0.86175,0.3968,1.5382,1.75223,1.87237,0.00155648,0.00155648,0.00155648
58,1538.38,1.79086,1.62504,2.22527,0.83581,0.78594,0.86284,0.37947,1.52144,3.00994,1.88456,0.00154856,0.00154856,0.00154856
59,1564.8,1.76305,1.62826,2.21075,0.79693,0.78988,0.8559,0.38363,1.55065,2.2032,1.88387,0.00154064,0.00154064,0.00154064
60,1590.91,1.77708,1.67175,2.22771,0.80824,0.79448,0.86147,0.39312,1.55211,2.21737,1.87781,0.00153272,0.00153272,0.00153272
61,1617.4,1.78992,1.60333,2.22724,0.79983,0.78594,0.83442,0.3555,1.58185,3.76466,1.92485,0.0015248,0.0015248,0.0015248
62,1643.79,1.77767,1.60902,2.19911,0.83099,0.78914,0.84853,0.38421,1.52199,1.73988,1.87893,0.00151688,0.00151688,0.00151688
