epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7334,2.99035,4.15879,4.05744,0.00218,0.94569,0.00778,0.0018,2.08973,36.5223,3.01953,0.000659864,0.000659864,0.000659864
2,70.3255,2.69588,3.58957,3.33181,0.04469,0.10863,0.01461,0.00348,2.23043,37.8631,2.94732,0.00132128,0.00132128,0.00132128
3,102.404,2.47311,3.08888,2.96158,0.03216,0.08626,0.01336,0.00357,1.99951,12.4902,2.62702,0.00197741,0.00197741,0.00197741
4,133.957,2.33625,2.78746,2.7886,0.27995,0.2524,0.18031,0.03771,2.16711,16.6461,2.59997,0.00197624,0.00197624,0.00197624
5,165.304,2.29778,2.66798,2.70968,0.27811,0.53035,0.30271,0.11488,1.71039,9.10378,2.1179,0.00196832,0.00196832,0.00196832
6,197.591,2.23313,2.52502,2.64179,0.34863,0.33227,0.27903,0.09459,1.87512,7.05207,2.24684,0.0019604,0.0019604,0.0019604
7,229.683,2.19238,2.43358,2.55543,0.38161,0.29179,0.24187,0.08109,1.85415,4.07604,2.3053,0.00195248,0.00195248,0.00195248
8,262.194,2.15388,2.37754,2.51671,0.34759,0.30671,0.24163,0.07926,1.70715,5.78505,2.19406,0.00194456,0.00194456,0.00194456
9,294.479,2.1076,2.34593,2.50445,0.67154,0.44728,0.56292,0.21902,1.67797,6.62199,2.00448,0.00193664,0.00193664,0.00193664
10,327.566,2.10389,2.2969,2.4543,0.40836,0.44409,0.35622,0.1222,1.79489,7.8006,2.13934,0.00192872,0.00192872,0.00192872
11,360.03,2.06545,2.2137,2.41636,0.50804,0.49521,0.45637,0.16966,1.72501,7.85153,2.02533,0.0019208,0.0019208,0.0019208
12,392.581,2.02172,2.19087,2.39147,0.56238,0.51757,0.52389,0.18117,1.71776,3.63138,2.10386,0.00191288,0.00191288,0.00191288
13,424.521,2.0473,2.15369,2.3757,0.65655,0.48882,0.54873,0.21423,1.68803,4.77167,1.99412,0.00190496,0.00190496,0.00190496
14,456.538,2.0056,2.1037,2.33595,0.54221,0.62437,0.57483,0.18791,1.75296,11.2907,2.06736,0.00189704,0.00189704,0.00189704
15,489.693,2.00822,2.09883,2.34329,0.61209,0.57827,0.58842,0.20589,1.72964,6.46156,2.05107,0.00188912,0.00188912,0.00188912
16,520.823,1.99401,2.04078,2.32179,0.68487,0.65176,0.68221,0.24709,1.62511,5.7974,1.96025,0.0018812,0.0018812,0.0018812
17,550.377,1.98235,1.99212,2.27787,0.70269,0.61164,0.66354,0.27459,1.65126,2.82428,1.94954,0.00187328,0.00187328,0.00187328
18,579.944,1.98296,2.00681,2.29627,0.70847,0.65495,0.69348,0.26681,1.66032,8.0758,1.97831,0.00186536,0.00186536,0.00186536
19,609.532,1.97772,1.95332,2.27383,0.69834,0.65815,0.70759,0.27341,1.65266,6.80042,1.9462,0.00185744,0.00185744,0.00185744
20,639.004,1.94005,1.90407,2.26905,0.77745,0.67093,0.7332,0.29127,1.67516,2.94696,1.97526,0.00184952,0.00184952,0.00184952
21,668.803,1.95618,1.91461,2.24746,0.69772,0.65176,0.69437,0.28278,1.65009,6.32428,1.9003,0.0018416,0.0018416,0.0018416
22,698.739,1.92563,1.90761,2.21779,0.74405,0.57827,0.6981,0.29942,1.58568,3.49388,1.92475,0.00183368,0.00183368,0.00183368
23,728.562,1.91429,1.83482,2.19289,0.66697,0.63984,0.68135,0.27317,1.63172,4.81943,1.89027,0.00182576,0.00182576,0.00182576
24,758.721,1.92624,1.8334,2.22729,0.75706,0.76358,0.76826,0.31082,1.56637,5.9169,1.85461,0.00181784,0.00181784,0.00181784
25,789.415,1.90742,1.83547,2.20255,0.76862,0.66862,0.72372,0.26791,1.69871,3.57854,1.96873,0.00180992,0.00180992,0.00180992
26,819.981,1.91319,1.83488,2.19595,0.81717,0.73802,0.78969,0.30232,1.68767,3.25694,1.9418,0.001802,0.001802,0.001802
27,850.06,1.90024,1.77113,2.17104,0.76362,0.70183,0.74847,0.30073,1.66386,5.02434,1.92233,0.00179408,0.00179408,0.00179408
28,879.993,1.94328,1.76636,2.21382,0.79333,0.74121,0.79361,0.3366,1.62832,3.59878,1.91348,0.00178616,0.00178616,0.00178616
29,911.018,1.86935,1.72783,2.15887,0.8427,0.73802,0.79794,0.32323,1.662,4.42275,1.92473,0.00177824,0.00177824,0.00177824
30,940.67,1.86683,1.75339,2.16314,0.83932,0.78437,0.81783,0.32295,1.67689,4.29225,1.93138,0.00177032,0.00177032,0.00177032
31,970.272,1.87292,1.75073,2.15878,0.8332,0.79233,0.85113,0.35166,1.57857,3.63801,1.8536,0.0017624,0.0017624,0.0017624
32,999.596,1.88289,1.73506,2.15269,0.84019,0.77316,0.82785,0.33966,1.58793,3.74385,1.8557,0.00175448,0.00175448,0.00175448
33,1029.63,1.85318,1.66214,2.11302,0.80615,0.73802,0.80564,0.31513,1.66095,2.74618,1.93696,0.00174656,0.00174656,0.00174656
34,1059.88,1.89727,1.73922,2.15261,0.81109,0.71332,0.80701,0.33531,1.64803,3.22723,1.88285,0.00173864,0.00173864,0.00173864
35,1090,1.8482,1.66703,2.09935,0.81952,0.76677,0.82448,0.33247,1.6794,3.87416,1.91985,0.00173072,0.00173072,0.00173072
36,1120.1,1.8832,1.64055,2.12691,0.87961,0.79233,0.85311,0.3565,1.69199,2.77746,1.94966,0.0017228,0.0017228,0.0017228
37,1150.16,1.83623,1.63448,2.1114,0.80421,0.73487,0.82162,0.32798,1.6828,4.42514,1.88798,0.00171488,0.00171488,0.00171488
38,1179.81,1.85755,1.68804,2.12683,0.84159,0.76384,0.83042,0.36507,1.58087,3.23582,1.82065,0.00170696,0.00170696,0.00170696
39,1209.82,1.82784,1.60647,2.09325,0.88038,0.77592,0.84601,0.36265,1.57376,3.51545,1.83103,0.00169904,0.00169904,0.00169904
40,1239.97,1.83158,1.58536,2.08107,0.8762,0.76882,0.8576,0.37367,1.61266,2.18734,1.85408,0.00169112,0.00169112,0.00169112
41,1269.94,1.83774,1.6392,2.10641,0.87024,0.79276,0.8416,0.34924,1.66491,3.06082,1.93009,0.0016832,0.0016832,0.0016832
42,1299.97,1.85106,1.62878,2.09895,0.82121,0.79241,0.83529,0.37031,1.60693,2.34297,1.85926,0.00167528,0.00167528,0.00167528
43,1329.82,1.82405,1.59079,2.07159,0.87883,0.78785,0.87531,0.37291,1.62687,2.8416,1.85726,0.00166736,0.00166736,0.00166736
44,1359.67,1.81242,1.61746,2.06406,0.86356,0.78594,0.8517,0.36445,1.62402,2.56735,1.85811,0.00165944,0.00165944,0.00165944
45,1389.64,1.82897,1.64991,2.09733,0.88416,0.80511,0.84979,0.35351,1.67119,3.10355,1.92308,0.00165152,0.00165152,0.00165152
46,1419.8,1.82331,1.56947,2.05978,0.8768,0.79233,0.85134,0.36741,1.60547,2.1793,1.84829,0.0016436,0.0016436,0.0016436
47,1449.3,1.80232,1.57824,2.08318,0.89813,0.82428,0.89826,0.36597,1.59499,3.07863,1.84543,0.00163568,0.00163568,0.00163568
48,1479.33,1.80068,1.60813,2.05199,0.89774,0.8147,0.8718,0.38292,1.61936,2.80435,1.88185,0.00162776,0.00162776,0.00162776
